Index,Country,Rank (2015),Happiness Score (2015),Family (2015),Health (2015),Freedom (2015),Perceptions of Corruption (2015),Generosity (2015),Rank (2016),Happiness Score (2016),Family (2016),Health (2016),Freedom (2016),Perceptions of Corruption (2016),Generosity (2016),Rank (2017),Happiness Score (2017),Family (2017),Health (2017),Freedom (2017),Perceptions of Corruption (2017),Generosity (2017),Rank (2018),Happiness Score (2018),Family (2018),Health (2018),Freedom (2018),Perceptions of Corruption (2018),Generosity (2018),Rank (2019),Happiness Score (2019),Family (2019),Health (2019),Freedom (2019),Perceptions of Corruption (2019),Generosity (2019),Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
43,Bahrain,49.0,5.96,1.21624,0.74716,0.45492,0.306,0.17362,42.0,6.218,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,41.0,6.08699989318848,1.3231104612350502,0.653133034706116,0.536746919155121,0.257042169570923,0.17266848683357197,43.0,6.105,1.3659999999999999,0.698,0.594,0.12300000000000001,0.243,37.0,6.199,1.368,0.871,0.536,0.11,0.255,21.0,6.647,1.0290000000000001,0.625,0.693,0.155,0.19899999999999998
44,Italy,50.0,5.9479999999999995,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,50.0,5.977,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,48.0,5.96400022506714,1.44492328166962,0.8531443476676941,0.256450712680817,0.0280280914157629,0.17278964817523998,47.0,6.0,1.501,0.946,0.281,0.027999999999999997,0.13699999999999998,36.0,6.223,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158,31.0,6.4670000000000005,1.052,0.8009999999999999,0.41200000000000003,0.059000000000000004,0.085
45,Bolivia,51.0,5.89,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,59.0,5.822,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,58.0,5.82299995422363,1.2276190519332901,0.47363024950027505,0.5587329268455511,0.0604777261614799,0.22556072473526,62.0,5.752000000000001,1.2229999999999999,0.508,0.606,0.054000000000000006,0.141,61.0,5.779,1.209,0.706,0.511,0.064,0.13699999999999998,71.0,5.6,0.88,0.555,0.627,0.064,0.11199999999999999
46,Moldova,52.0,5.888999999999999,1.01528,0.61826,0.32818,0.01615,0.20951,55.0,5.897,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,56.0,5.837999820709231,1.25182557106018,0.5894652009010309,0.24072904884815197,0.0100912861526012,0.20877912640571603,67.0,5.64,1.301,0.62,0.23199999999999998,0.0,0.171,71.0,5.529,1.328,0.7390000000000001,0.245,0.0,0.18100000000000002,62.0,5.857,1.008,0.597,0.561,0.027999999999999997,0.102
47,Paraguay,53.0,5.877999999999999,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,70.0,5.537999999999999,1.11111,0.58295,0.46235,0.07396,0.25296,70.0,5.493000030517581,1.50728487968445,0.579250693321228,0.473507791757584,0.091065913438797,0.224150657653809,64.0,5.681,1.5219999999999998,0.615,0.541,0.07400000000000001,0.162,63.0,5.742999999999999,1.475,0.777,0.514,0.08,0.184,73.0,5.577999999999999,1.13,0.624,0.629,0.059000000000000004,0.171
48,Kazakhstan,54.0,5.855,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,54.0,5.919,0.95544,0.57386,0.4052,0.11132,0.15011,60.0,5.8189997673034695,1.3843690156936599,0.6060415506362921,0.43745428323745705,0.11928288638591802,0.20196442306041698,60.0,5.79,1.516,0.631,0.45399999999999996,0.121,0.14800000000000002,60.0,5.809,1.508,0.7290000000000001,0.41,0.096,0.146,40.0,6.234,1.22,0.611,0.584,0.157,0.134
49,Slovenia,55.0,5.848,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,63.0,5.768,1.05613,0.79151,0.53164,0.03635,0.25738,62.0,5.75799989700317,1.4525188207626298,0.7908282279968258,0.572575807571411,0.0451289787888527,0.242649093270302,51.0,5.9479999999999995,1.506,0.856,0.633,0.051,0.16,44.0,6.117999999999999,1.5230000000000001,0.953,0.564,0.057,0.14400000000000002,22.0,6.63,1.249,0.769,0.685,0.115,0.11800000000000001
50,Lithuania,56.0,5.832999999999999,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,60.0,5.813,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,52.0,5.90199995040894,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352,50.0,5.952000000000001,1.527,0.716,0.35,0.006,0.026000000000000002,42.0,6.149,1.515,0.818,0.29100000000000004,0.042,0.043,34.0,6.446000000000001,1.204,0.659,0.496,0.077,0.053
51,Nicaragua,57.0,5.827999999999999,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,48.0,5.992000000000001,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,43.0,6.07100009918213,1.28721570968628,0.6530959606170649,0.447551846504211,0.130687981843948,0.301674216985703,41.0,6.141,1.319,0.7,0.527,0.128,0.20800000000000002,45.0,6.105,1.325,0.835,0.435,0.127,0.2,45.0,6.165,1.0290000000000001,0.617,0.617,0.212,0.168
52,Peru,58.0,5.824,0.97459,0.73017,0.41496000000000005,0.05989,0.14982,64.0,5.742999999999999,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,63.0,5.71500015258789,1.21877038478851,0.6301661133766171,0.45000287890434293,0.0470490865409374,0.126819714903831,65.0,5.662999999999999,1.249,0.674,0.53,0.034,0.092,65.0,5.697,1.274,0.8540000000000001,0.455,0.027000000000000003,0.083,74.0,5.559,0.865,0.735,0.545,0.037000000000000005,0.09
