Index,Country,Rank (2015),Happiness Score (2015),Family (2015),Health (2015),Freedom (2015),Perceptions of Corruption (2015),Generosity (2015),Rank (2016),Happiness Score (2016),Family (2016),Health (2016),Freedom (2016),Perceptions of Corruption (2016),Generosity (2016),Rank (2017),Happiness Score (2017),Family (2017),Health (2017),Freedom (2017),Perceptions of Corruption (2017),Generosity (2017),Rank (2018),Happiness Score (2018),Family (2018),Health (2018),Freedom (2018),Perceptions of Corruption (2018),Generosity (2018),Rank (2019),Happiness Score (2019),Family (2019),Health (2019),Freedom (2019),Perceptions of Corruption (2019),Generosity (2019),Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
78,Romania,86.0,5.124,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,71.0,5.528,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,57.0,5.824999809265139,1.15009129047394,0.6851583123207089,0.457003742456436,0.0043879006989300294,0.133519917726517,52.0,5.945,1.219,0.726,0.528,0.001,0.08800000000000001,48.0,6.07,1.232,0.825,0.462,0.005,0.083,28.0,6.477,1.006,0.655,0.605,0.006,0.039
79,Serbia,87.0,5.122999999999999,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,86.0,5.1770000000000005,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,73.0,5.39499998092651,1.2581897974014298,0.65078467130661,0.20871552824974102,0.0409037806093693,0.22012588381767298,78.0,5.398,1.369,0.685,0.28800000000000003,0.043,0.134,70.0,5.603,1.383,0.8540000000000001,0.282,0.039,0.13699999999999998,43.0,6.178,1.0859999999999999,0.6579999999999999,0.546,0.08800000000000001,0.21899999999999997
80,Portugal,88.0,5.102,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,94.0,5.122999999999999,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,89.0,5.19500017166138,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,77.0,5.41,1.429,0.884,0.562,0.017,0.055,66.0,5.693,1.431,0.9990000000000001,0.508,0.025,0.047,56.0,6.016,1.078,0.777,0.655,0.039,0.016
81,Latvia,89.0,5.098,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,68.0,5.56,0.95025,0.63952,0.27996,0.0889,0.17445,54.0,5.849999904632571,1.40471494197845,0.638566970825195,0.32570791244506797,0.0738427266478539,0.153074786067009,53.0,5.933,1.454,0.6709999999999999,0.363,0.066,0.092,53.0,5.94,1.465,0.812,0.264,0.064,0.075,42.0,6.18,1.2209999999999999,0.637,0.502,0.09,0.075
82,Philippines,90.0,5.073,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,82.0,5.279,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,72.0,5.42999982833862,1.25391757488251,0.46800905466079706,0.585214674472809,0.0993318930268288,0.193513423204422,71.0,5.524,1.3119999999999998,0.513,0.643,0.105,0.12,69.0,5.631,1.2930000000000001,0.657,0.5579999999999999,0.107,0.11699999999999999,60.0,5.904,0.912,0.514,0.6779999999999999,0.142,0.107
83,Morocco,92.0,5.013,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,90.0,5.151,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,84.0,5.2350001335144,0.774864435195923,0.59771066904068,0.408158332109451,0.0877631828188896,0.0322099551558495,85.0,5.254,0.797,0.669,0.46,0.07400000000000001,0.026000000000000002,89.0,5.207999999999999,0.782,0.782,0.418,0.076,0.036000000000000004,100.0,5.06,0.268,0.565,0.49200000000000005,0.102,0.02
84,Albania,95.0,4.959,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,109.0,4.655,0.50163,0.73007,0.31866,0.05301,0.1684,109.0,4.64400005340576,0.8036852478981021,0.731159746646881,0.381498634815216,0.0398642159998417,0.20131294429302202,112.0,4.586,0.8170000000000001,0.79,0.419,0.032,0.149,107.0,4.718999999999999,0.848,0.8740000000000001,0.38299999999999995,0.027000000000000003,0.17800000000000002,90.0,5.199,0.6459999999999999,0.7190000000000001,0.511,0.027999999999999997,0.138
85,Bosnia and Herzegovina,96.0,4.949,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,87.0,5.162999999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,90.0,5.18200016021729,1.0693359375,0.705186307430267,0.204403176903725,0.0,0.328867495059967,93.0,5.129,1.078,0.758,0.28,0.0,0.21600000000000003,78.0,5.386,1.212,0.845,0.212,0.006,0.263,67.0,5.768,1.068,0.665,0.44799999999999995,0.006,0.244
86,Dominican Republic,98.0,4.885,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,89.0,5.155,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,86.0,5.230000019073491,1.4024167060852097,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,83.0,5.3020000000000005,1.4409999999999998,0.614,0.578,0.106,0.12,77.0,5.425,1.401,0.779,0.49700000000000005,0.10099999999999999,0.113,69.0,5.737,1.003,0.5770000000000001,0.606,0.179,0.084
87,Mongolia,100.0,4.874,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,101.0,4.907,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,100.0,4.95499992370605,1.4930112361908001,0.557783484458923,0.39414396882057207,0.0329022891819477,0.338464230298996,94.0,5.125,1.517,0.575,0.395,0.032,0.253,83.0,5.285,1.531,0.667,0.317,0.038,0.235,68.0,5.761,1.197,0.467,0.39799999999999996,0.059000000000000004,0.247
88,Greece,102.0,4.857,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,99.0,5.033,0.75473,0.80029,0.05822000000000001,0.04127,0.0,87.0,5.2270002365112305,1.23941457271576,0.8101989030838009,0.0957312509417534,0.043289776891470004,0.0,79.0,5.358,1.202,0.879,0.131,0.044000000000000004,0.0,82.0,5.287000000000001,1.156,0.9990000000000001,0.067,0.034,0.0,58.0,5.9479999999999995,0.98,0.774,0.249,0.10800000000000001,0.015
89,Lebanon,103.0,4.8389999999999995,0.80001,0.83947,0.33916,0.04582,0.21854,93.0,5.129,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,88.0,5.22499990463257,1.1296242475509601,0.7350810766220089,0.28851598501205394,0.037513829767704,0.26445075869560203,80.0,5.358,1.179,0.785,0.503,0.136,0.214,91.0,5.197,1.224,0.815,0.21600000000000003,0.027000000000000003,0.166,145.0,2.955,0.498,0.631,0.10300000000000001,0.034,0.08199999999999999
90,Hungary,104.0,4.8,1.20215,0.75905,0.32111999999999996,0.02758,0.128,91.0,5.145,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,75.0,5.32399988174438,1.34313309192657,0.6877634525299069,0.17586351931095098,0.0366369374096394,0.0784016624093056,69.0,5.62,1.401,0.732,0.259,0.022000000000000002,0.061,62.0,5.757999999999999,1.41,0.828,0.19899999999999998,0.02,0.081,51.0,6.086,1.2329999999999999,0.6679999999999999,0.485,0.064,0.078
91,Honduras,105.0,4.788,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,104.0,4.871,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,91.0,5.1810002326965305,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,0.23618887364864302,72.0,5.504,1.205,0.622,0.45899999999999996,0.07400000000000001,0.19699999999999998,59.0,5.86,1.236,0.828,0.507,0.078,0.24600000000000002,55.0,6.022,0.885,0.555,0.5820000000000001,0.076,0.20199999999999999
92,Tajikistan,106.0,4.7860000000000005,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,100.0,4.996,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,96.0,5.04099988937378,1.27146327495575,0.5292351245880129,0.47156670689582797,0.14637714624404902,0.24899764358997303,88.0,5.199,1.166,0.598,0.292,0.034,0.187,74.0,5.4670000000000005,1.0979999999999999,0.718,0.389,0.14400000000000002,0.23,83.0,5.377000000000001,1.005,0.518,0.5720000000000001,0.304,0.11800000000000001
93,Tunisia,107.0,4.739,0.60429,0.73793,0.26268,0.06358,0.06431,98.0,5.045,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,102.0,4.80499982833862,0.8683514595031742,0.613212049007416,0.289680689573288,0.0867231488227844,0.0496933571994305,111.0,4.592,0.9059999999999999,0.69,0.271,0.063,0.04,124.0,4.461,1.0,0.815,0.16699999999999998,0.055,0.059000000000000004,120.0,4.516,0.596,0.6559999999999999,0.316,0.028999999999999998,0.028999999999999998
95,Bangladesh,109.0,4.694,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,110.0,4.643,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,110.0,4.60799980163574,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.17225535213947304,115.0,4.5,0.85,0.579,0.58,0.14400000000000002,0.153,125.0,4.456,0.9279999999999999,0.723,0.527,0.14300000000000002,0.166,94.0,5.155,0.614,0.581,0.622,0.187,0.125
96,Iran,110.0,4.686,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086,105.0,4.813,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,108.0,4.69199991226196,0.7115512490272521,0.639333188533783,0.24932260811328896,0.048761073499918005,0.387242913246155,106.0,4.707,0.7709999999999999,0.691,0.45899999999999996,0.129,0.282,117.0,4.548,0.8420000000000001,0.785,0.305,0.125,0.27,110.0,4.888,0.741,0.642,0.281,0.146,0.24100000000000002
97,Ukraine,111.0,4.681,1.20278,0.6739,0.25123,0.02961,0.15275,123.0,4.324,1.01413,0.58628,0.12859,0.01829,0.20363,132.0,4.09600019454956,1.39453756809235,0.575903952121735,0.12297477573156401,0.0230294708162546,0.270061463117599,138.0,4.103,1.413,0.609,0.163,0.011000000000000001,0.187,133.0,4.332,1.39,0.7390000000000001,0.17800000000000002,0.01,0.187,98.0,5.084,1.081,0.583,0.473,0.017,0.188
98,Iraq,112.0,4.677,0.81889,0.60237,0.0,0.13788,0.17922000000000002,112.0,4.575,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,117.0,4.49700021743774,0.978613197803497,0.501180469989777,0.288555532693863,0.10721575468778599,0.19963726401329,117.0,4.456,0.971,0.536,0.304,0.095,0.14800000000000002,126.0,4.437,0.98,0.574,0.24100000000000002,0.08900000000000001,0.14800000000000002,107.0,4.941,0.682,0.5539999999999999,0.32799999999999996,0.046,0.147
99,South Africa,113.0,4.6419999999999995,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,116.0,4.459,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,101.0,4.8289999961853,1.38478863239288,0.18708007037639604,0.479246735572815,0.0725094974040985,0.13936237990856198,105.0,4.724,1.41,0.33,0.516,0.055999999999999994,0.10300000000000001,106.0,4.7219999999999995,1.351,0.469,0.389,0.055,0.13,91.0,5.194,1.088,0.361,0.442,0.046,0.08900000000000001
100,Ghana,114.0,4.633,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,124.0,4.276,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,131.0,4.11999988555908,0.873664736747742,0.29563772678375205,0.423026293516159,0.0253363698720932,0.25692394375801103,108.0,4.657,0.8959999999999999,0.337,0.499,0.028999999999999998,0.212,98.0,4.996,0.868,0.486,0.381,0.04,0.245,111.0,4.872,0.595,0.409,0.5,0.055999999999999994,0.23
101,Zimbabwe,115.0,4.61,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,131.0,4.1930000000000005,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,138.0,3.875,1.08309590816498,0.19676375389099102,0.336384207010269,0.0953753814101219,0.189143493771553,144.0,3.6919999999999997,1.094,0.248,0.406,0.099,0.132,146.0,3.6630000000000003,1.114,0.433,0.361,0.08900000000000001,0.151,144.0,2.995,0.69,0.27,0.32899999999999996,0.105,0.106
103,India,117.0,4.565,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,118.0,4.404,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,122.0,4.31500005722046,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.23153848946094502,133.0,4.19,0.747,0.485,0.539,0.09300000000000001,0.172,140.0,4.015,0.765,0.588,0.498,0.085,0.2,136.0,3.7769999999999997,0.376,0.47100000000000003,0.647,0.12300000000000001,0.198
106,Nepal,121.0,4.513999999999999,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,107.0,4.793,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,99.0,4.961999893188481,1.17928326129913,0.504130780696869,0.44030594825744607,0.0729755461215973,0.39409616589546204,101.0,4.88,1.228,0.539,0.526,0.078,0.302,100.0,4.913,1.226,0.677,0.439,0.08900000000000001,0.285,84.0,5.377000000000001,0.784,0.499,0.519,0.13,0.237
107,Ethiopia,122.0,4.512,0.60406,0.44055,0.4345,0.15048,0.24325,115.0,4.508,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,119.0,4.46000003814697,0.8646692037582401,0.35340970754623396,0.408842742443085,0.16545571386814098,0.31265074014663696,127.0,4.35,0.95,0.391,0.452,0.146,0.22,134.0,4.2860000000000005,1.033,0.532,0.344,0.1,0.209,131.0,4.2410000000000005,0.809,0.457,0.47200000000000003,0.136,0.205
108,Sierra Leone,123.0,4.507,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,111.0,4.635,0.628,0.0,0.30685,0.08196,0.23897,106.0,4.70900011062622,0.984136044979095,0.005564753897488121,0.318697690963745,0.0710951760411263,0.293040901422501,113.0,4.571000000000001,0.813,0.0,0.355,0.053,0.23800000000000002,129.0,4.374,0.841,0.242,0.309,0.045,0.252,140.0,3.574,0.41600000000000004,0.273,0.387,0.055,0.20199999999999999
110,Kenya,125.0,4.419,0.99876,0.41435,0.42215,0.05839,0.37542,122.0,4.356,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,112.0,4.55299997329712,1.0679507255554201,0.30998834967613204,0.45276376605033897,0.0646413192152977,0.444860309362411,124.0,4.41,1.048,0.45399999999999996,0.504,0.055,0.35200000000000004,121.0,4.5089999999999995,0.983,0.581,0.431,0.053,0.37200000000000005,119.0,4.543,0.605,0.401,0.44,0.08199999999999999,0.322
111,Armenia,127.0,4.35,0.7771100000000001,0.7299,0.19847,0.039,0.07855,121.0,4.36,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,121.0,4.37599992752075,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,129.0,4.321000000000001,0.99,0.6659999999999999,0.26,0.027999999999999997,0.077,116.0,4.559,1.055,0.815,0.28300000000000003,0.064,0.095,82.0,5.399,0.82,0.6679999999999999,0.5579999999999999,0.21,0.054000000000000006
113,Myanmar,129.0,4.3069999999999995,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,119.0,4.395,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,114.0,4.54500007629395,1.12323594093323,0.397522568702698,0.514492034912109,0.188816204667091,0.8380751609802249,130.0,4.308,1.1740000000000002,0.429,0.58,0.17800000000000002,0.598,131.0,4.36,1.181,0.555,0.525,0.172,0.5660000000000001,126.0,4.394,0.8290000000000001,0.491,0.513,0.19399999999999998,0.452
114,Georgia,130.0,4.297,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,126.0,4.252,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,125.0,4.28599977493286,0.57061493396759,0.649546980857849,0.309410035610199,0.25166663527488703,0.0540088154375553,128.0,4.34,0.5920000000000001,0.643,0.375,0.215,0.038,119.0,4.519,0.6659999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043,105.0,4.973,0.612,0.595,0.508,0.20800000000000002,0.0
115,Malawi,131.0,4.292,0.41134,0.22562,0.43054,0.06977,0.33128,132.0,4.156000000000001,0.147,0.29364,0.4143,0.07564,0.30968,136.0,3.97000002861023,0.5125688314437871,0.315089583396912,0.466914653778076,0.0727116540074348,0.28717046976089505,147.0,3.5869999999999997,0.541,0.306,0.531,0.08,0.21,150.0,3.41,0.56,0.495,0.44299999999999995,0.08900000000000001,0.218,138.0,3.75,0.27899999999999997,0.38799999999999996,0.47700000000000004,0.157,0.14
116,Sri Lanka,132.0,4.271,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,117.0,4.415,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,120.0,4.44000005722046,1.25997638702393,0.625130832195282,0.561213254928589,0.0736539661884308,0.49086356163024897,116.0,4.471,1.314,0.672,0.585,0.05,0.307,130.0,4.3660000000000005,1.265,0.831,0.47,0.047,0.244,127.0,4.362,0.934,0.66,0.529,0.079,0.15
117,Cameroon,133.0,4.252,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,114.0,4.513,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,107.0,4.69500017166138,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,0.23629845678806302,99.0,4.975,0.8909999999999999,0.182,0.45399999999999996,0.043,0.183,96.0,5.044,0.91,0.331,0.381,0.037000000000000005,0.187,102.0,5.048,0.672,0.317,0.397,0.07400000000000001,0.152
118,Bulgaria,134.0,4.218,1.10614,0.76649,0.30587,0.00872,0.11921,129.0,4.217,0.92542,0.67806,0.21219000000000002,0.00615,0.12793,105.0,4.71400022506714,1.4343794584274299,0.708217680454254,0.28923171758651695,0.0110515309497714,0.113177694380283,100.0,4.933,1.515,0.7120000000000001,0.359,0.009000000000000001,0.064,97.0,5.011,1.5130000000000001,0.815,0.311,0.004,0.081,85.0,5.371,1.163,0.64,0.563,0.021,0.12300000000000001
119,Egypt,135.0,4.194,0.747,0.61712,0.17288,0.06324,0.11291,120.0,4.362,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,104.0,4.7350001335144,0.997471392154694,0.520187258720398,0.28211015462875394,0.114381365478039,0.128631442785263,122.0,4.419,1.025,0.5529999999999999,0.312,0.107,0.092,137.0,4.166,1.0390000000000001,0.644,0.24100000000000002,0.067,0.076,129.0,4.288,0.732,0.5479999999999999,0.469,0.254,0.040999999999999995
121,Mali,138.0,3.995,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,135.0,4.073,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002,127.0,4.19000005722046,1.2814733982086202,0.16936567425727803,0.306613743305206,0.10497024655342098,0.183354198932648,118.0,4.447,1.2329999999999999,0.152,0.36700000000000005,0.055999999999999994,0.139,128.0,4.39,1.105,0.308,0.327,0.052000000000000005,0.153,123.0,4.479,0.483,0.311,0.35,0.042,0.128
123,Uganda,141.0,3.931,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,145.0,3.739,0.90981,0.19625,0.43653000000000003,0.06442,0.27102,133.0,4.08099985122681,1.12982773780823,0.21763260662555703,0.443185955286026,0.057069718837738,0.32576605677604703,135.0,4.1610000000000005,1.09,0.237,0.45,0.061,0.259,136.0,4.189,1.069,0.44299999999999995,0.35600000000000004,0.06,0.252,117.0,4.603,0.875,0.418,0.402,0.066,0.222
124,Senegal,142.0,3.904,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,128.0,4.218999999999999,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,115.0,4.53499984741211,1.17969191074371,0.409362852573395,0.37792226672172496,0.11546044796705199,0.183468893170357,109.0,4.631,1.117,0.433,0.406,0.08199999999999999,0.138,111.0,4.681,1.1340000000000001,0.5710000000000001,0.292,0.07200000000000001,0.153,103.0,5.046,0.53,0.447,0.494,0.081,0.14300000000000002
125,Gabon,143.0,3.8960000000000004,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,134.0,4.121,0.72368,0.3494,0.28098,0.09314,0.062439999999999996,118.0,4.46500015258789,1.1556202173233001,0.35657858848571794,0.31232857704162603,0.0760467872023582,0.0437853783369064,103.0,4.758,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.052000000000000005,0.032,104.0,4.7989999999999995,1.183,0.5710000000000001,0.295,0.055,0.043,106.0,4.958,0.738,0.396,0.34299999999999997,0.099,0.032
127,Cambodia,145.0,3.819,0.62736,0.61114,0.66246,0.07247,0.40359,140.0,3.907,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,129.0,4.1680002212524405,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,120.0,4.433,1.088,0.457,0.696,0.065,0.256,109.0,4.7,1.122,0.637,0.609,0.062,0.23199999999999998,114.0,4.64,0.732,0.505,0.74,0.068,0.166
128,Tanzania,146.0,3.781,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,149.0,3.6660000000000004,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,153.0,3.34899997711182,1.04198980331421,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946,153.0,3.303,0.991,0.381,0.48100000000000004,0.09699999999999999,0.27,153.0,3.2310000000000003,0.885,0.499,0.41700000000000004,0.147,0.276,139.0,3.702,0.597,0.425,0.578,0.27,0.248
131,Guinea,150.0,3.656,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,151.0,3.6069999999999998,0.3109,0.18829,0.30953,0.1192,0.29914,149.0,3.50699996948242,0.7912446856498722,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,140.0,3.964,0.792,0.21100000000000002,0.39399999999999996,0.094,0.185,118.0,4.534,0.8290000000000001,0.375,0.332,0.086,0.207,109.0,4.891,0.5660000000000001,0.275,0.33399999999999996,0.11599999999999999,0.214
132,Ivory Coast,151.0,3.655,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,139.0,3.9160000000000004,0.57576,0.04476,0.40663,0.1553,0.20338,128.0,4.17999982833862,0.904780030250549,0.0486421696841717,0.4477061927318571,0.130061775445938,0.201237469911575,107.0,4.671,0.872,0.08,0.467,0.10300000000000001,0.146,99.0,4.944,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.09,0.154,88.0,5.235,0.442,0.322,0.451,0.124,0.149
133,Burkina Faso,152.0,3.5869999999999997,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,145.0,3.739,0.63054,0.21297,0.3337,0.12533,0.24353000000000002,134.0,4.03200006484985,1.04328000545502,0.21584425866603896,0.32436785101890603,0.12032810598611803,0.250864684581757,121.0,4.4239999999999995,1.097,0.254,0.312,0.128,0.175,115.0,4.587,1.056,0.38,0.255,0.113,0.177,113.0,4.67,0.565,0.32,0.382,0.126,0.18600000000000003
134,Afghanistan,153.0,3.575,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,154.0,3.36,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,141.0,3.7939999103546103,0.581543326377869,0.18074677884578697,0.106179520487785,0.0611578300595284,0.311870932579041,145.0,3.6319999999999997,0.537,0.255,0.085,0.036000000000000004,0.191,154.0,3.2030000000000003,0.517,0.361,0.0,0.025,0.158,146.0,2.404,0.0,0.289,0.0,0.005,0.08900000000000001
136,Benin,155.0,3.34,0.35386,0.3191,0.4845,0.0801,0.1826,153.0,3.484,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,143.0,3.65700006484985,0.43529984354972795,0.20993021130561804,0.42596277594566295,0.0609290152788162,0.207948461174965,136.0,4.141,0.37200000000000005,0.24,0.44,0.067,0.163,102.0,4.883,0.43700000000000006,0.397,0.349,0.08199999999999999,0.175,115.0,4.623,0.064,0.335,0.479,0.23,0.127
139,Togo,158.0,2.839,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,155.0,3.303,0.0,0.24811,0.34678000000000003,0.11587,0.17517,150.0,3.4949998855590803,0.4318825304508211,0.247105568647385,0.38042613863945,0.0956650152802467,0.19689615070819896,139.0,3.9989999999999997,0.474,0.253,0.434,0.10099999999999999,0.158,139.0,4.085,0.5720000000000001,0.41,0.293,0.085,0.177,135.0,4.112,0.322,0.36,0.292,0.132,0.174
